page,title
https://joyofmuseums.com/museums/asia-museums/singapore-museums/asian-civilisations-museum-singapore/,Walking Buddha
https://joyofmuseums.com/museums/asia-museums/singapore-museums/buddha-tooth-relic-temple-and-museum/exhibits-of-the-buddha-tooth-relic-temple-and-museum/meditating-buddha-shakyamuni/,Meditating Buddha Shakyamuni
https://joyofmuseums.com/museums/asia-museums/thailand-museums/bangkok-museums/bangkok-national-museum/mucalinda-sheltering-buddha/,Mucalinda Sheltering Buddha
https://joyofmuseums.com/museums/asia-museums/thailand-museums/bangkok-museums/bangkok-national-museum/buddha-protected-mucalinda/,Buddha Protected by Mucalinda
https://joyofmuseums.com/museums/asia-museums/singapore-museums/buddha-tooth-relic-temple-and-museum/exhibits-of-the-buddha-tooth-relic-temple-and-museum/buddha-performing-twin-miracles-at-sravasti/,Buddha performing Twin Miracles at Sravasti
https://joyofmuseums.com/museums/australasia-museums/australian-museums/museums-in-brisbane-australia/queensland-art-gallery/masterpieces-and-historical-objects-in-the-queensland-art-gallery/buddha/,Buddha
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/seated-buddha-from-gandhara/,Seated Buddha from Gandhara
https://joyofmuseums.com/museums/united-states-of-america/san-francisco-museums/asian-art-museum-san-francisco/masterpieces-of-the-asian-art-museum-san-francisco/bodhisattva-avalokiteshvara-guanyin/,Bodhisattva Avalokiteshvara – Guanyin
https://joyofmuseums.com/museums/united-states-of-america/san-francisco-museums/asian-art-museum-san-francisco/masterpieces-of-the-asian-art-museum-san-francisco/seated-bodhisattva-avalokiteshvara-guanyin/,Seated Bodhisattva Avalokiteshvara – Guanyin
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/luohan-yixian-glazed-ceramic-sculpture/,Luohan – Yixian Glazed Ceramic Sculpture (British Museum)
https://joyofmuseums.com/museums/americas-museums/canadian-museums/toronto-museums/royal-ontario-museum/highlights-of-the-royal-ontario-museum/luohan-yixian-glazed-ceramic-sculpture-rom/,Luohan – Yixian Glazed Ceramic Sculpture (Royal Ontario Museum)
https://joyofmuseums.com/museums/united-states-of-america/new-york-museums/metropolitan-museum-of-art/highlights-of-the-met/luohan-yixian-glazed-ceramic-sculpture-met/,Luohan – Yixian Glazed Ceramic Sculpture (MET)
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/garuda-british-museum/,Garuda (British Museum)
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/avalokiteshvara-guanyin-british-museum/,Avalokiteshvara – Guanyin (British Museum)
https://joyofmuseums.com/museums/united-states-of-america/cleveland-museums/cleveland-museum-of-art/masterpieces-of-the-cleveland-museum-of-art/the-stargazer-statuette-of-a-woman/,The Stargazer (Statuette of a Woman)
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/parthenon-marbles/,The Parthenon Marbles
https://joyofmuseums.com/museums/europe/france-museums/paris-museums/the-louvre/highlights-of-the-louvre/venus-de-milo/,Venus de Milo
https://joyofmuseums.com/museums/europe/italy-museums/florence-museums/uffizi-gallery/masterpieces-of-uffizi-gallery/venus-de-medici/,Venus de’ Medici
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/vatican-museums/highlights-of-the-vatican-museums/laocoon-and-his-sons/,Laocoön and His Sons
https://joyofmuseums.com/museums/europe/italy-museums/florence-museums/accademys-gallery/masterpieces-gallery-academy-florence/david-by-michelangelo/,David” by Michelangelo
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/st-peters-basilica/masterpieces-st-peters-basilica/pieta-by-michelangelo/,Pieta by Michelangelo
https://joyofmuseums.com/museums/europe/france-museums/paris-museums/the-louvre/highlights-of-the-louvre/the-winged-victory-of-samothrace/,The Winged Victory of Samothrace
https://joyofmuseums.com/museums/europe/germany-museums/berlin-museums/neues-museum/masterpieces-of-the-neues-museum/nefertiti-bust/,Nefertiti Bust
https://joyofmuseums.com/museums/europe/greece-museums/athens-museums/the-acropolis-museum/masterpieces-of-the-acropolis-museum/caryatids-of-erechtheion/,Caryatids of Erechtheion
https://joyofmuseums.com/museums/asia-museums/singapore-museums/asian-civilisations-museum-singapore/historical-objects-at-the-asian-civilisations-museum/walking-buddha/,Walking Buddha
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/capitoline-museums/masterpieces-of-the-capitoline-museums/dying-gaul/,The Dying Gaul
https://joyofmuseums.com/museums/europe/france-museums/paris-museums/musee-rodin/kiss-auguste-rodin/,The Kiss
https://joyofmuseums.com/museums/united-states-of-america/san-francisco-museums/the-legion-of-honor/masterpieces-of-the-legion-of-honor/cycladic-figures/,Cycladic Figures
http://joyofmuseums.com/museums/united-states-of-america/philadelphia-museums/rodin-museum/masterpieces-of-the-rodin-museum/the-gates-of-hell/,The Gates of Hell
http://joyofmuseums.com/museums/united-states-of-america/philadelphia-museums/rodin-museum/masterpieces-of-the-rodin-museum/the-thinker-rodin-museum-philadelphia/,The Thinker
https://joyofmuseums.com/museums/asia-museums/japan-museums/tokyo-museums/national-museum-of-western-art-tokyo/masterpieces-at-the-national-museum-of-western-art-tokyo/the-burghers-of-calais-by-auguste-rodin/,The Burghers of Calais
https://joyofmuseums.com/museums/europe/germany-museums/berlin-museums/neues-museum/masterpieces-of-the-neues-museum/akhenaten-and-nefertiti-with-their-children/,Akhenaten and Nefertiti with their Children
https://joyofmuseums.com/museums/europe/france-museums/paris-museums/the-louvre/highlights-of-the-louvre/gudea-prince-of-lagash/,"Gudea, Prince of Lagash"
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/the-lion-hunt/,Lion Hunt of Ashurbanipal
https://joyofmuseums.com/museums/europe/greece-museums/delphi-museums/delphi-archaeological-museum/charioteer-of-delphi/,Charioteer of Delphi
https://joyofmuseums.com/museums/europe/greece-museums/athens-museums/national-archaeological-museum-athens/masterpieces-of-the-national-archaeological-museum/artemision-bronze/,Artemision Bronze
https://joyofmuseums.com/museums/europe/greece-museums/athens-museums/national-archaeological-museum-athens/masterpieces-of-the-national-archaeological-museum/antikythera-youth/,Antikythera Youth 
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/capitoline-museums/masterpieces-of-the-capitoline-museums/boy-with-thorn/,Boy with Thorn
https://joyofmuseums.com/museums/europe/greece-museums/athens-museums/national-archaeological-museum-athens/masterpieces-of-the-national-archaeological-museum/jockey-of-artemision/,Jockey of Artemision
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/capitoline-museums/masterpieces-of-the-capitoline-museums/the-colossus-of-constantine/,Colossus of Constantine
https://joyofmuseums.com/museums/russian-federation/saint-petersburg/hermitage-museum/psyche-revived-by-cupids-kiss-by-antonio-canova/,Psyche Revived by Cupid’s Kiss
https://joyofmuseums.com/museums/europe/italy-museums/rome-museums/st-peters-basilica/masterpieces-st-peters-basilica/saint-helena-andrea-bolgi/,Statue of Saint Helena
https://joyofmuseums.com/museums/europe/germany-museums/berlin-museums/altes-museum/statuette-of-a-horse-in-geometric-style/,Statuette of a Horse in Geometric Style
https://joyofmuseums.com/museums/europe/germany-museums/berlin-museums/the-pergamon-museum/lion-hunt-relief-from-nimrud/,Lion Hunt Relief from Nimrud
https://joyofmuseums.com/museums/europe/germany-museums/berlin-museums/the-pergamon-museum/highlights-of-the-pergamon-museum/the-pergamon-altar/,The Pergamon Altar
https://joyofmuseums.com/museums/europe/italy-museums/bologna-museums/sanctuary-of-santa-maria-della-vita/lamentation-over-the-dead-christ-by-niccolo-dellarca/,Lamentation over the Dead Christ
https://joyofmuseums.com/museums/africa-museums/egypt-museums/cairo-museums/egyptian-museum/historical-objects-of-the-egyptian-museum/tutankhamuns-mask/,Tutankhamun’s Mask
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/the-rosetta-stone/,The Rosetta Stone
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/quartzite-head-of-the-egyptian-pharaoh-amenhotep-iii/,Quartzite Head of the Egyptian Pharaoh Amenhotep III
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/colossal-granite-statue-of-amenhotep-iii/,Colossal Granite Statue of Amenhotep III
https://joyofmuseums.com/museums/united-states-of-america/new-york-museums/metropolitan-museum-of-art/highlights-of-the-met/the-sphinx-of-hatshepsut/,The Sphinx of Hatshepsut
https://joyofmuseums.com/museums/united-kingdom-museums/london-museums/british-museum/highlights-of-the-british-museum/younger-memnon-ramesses-ii/,Younger Memnon (Ramesses II)
