page,title,info
https://www.louvre.fr/en/oeuvre-notices/frog-oil-lamp,"""Frog"" oil lamp ","This ovoid-shaped lamp, decorated with a frog framed by a vine scroll, was made in Egypt during the Roman era. Like vine fronds, frogs symbolized rebirth and resurrection, hence their use on Christian lamps."
https://www.louvre.fr/en/oeuvre-notices/twenty-squares-game-board,"""Twenty Squares"" game board ","The game of ""Twenty Squares"" was played at home or among friends, and was one of the Egyptians' favorite pastimes. Some examples of such everyday items from the world of the living have been discovered in villages and fortresses, sometimes engraved on paved floors; others, unearthed in a funerary context, were part of the deceased's funerary equipment, and have usually been found complete with game pieces: pawns, throwsticks, or knucklebones."
https://www.louvre.fr/en/oeuvre-notices/akhenaton-and-nefertiti,Akhenaton and Nefertiti ,"To the visitor to the Louvre who wishes to see Nefertiti, the Department of Antiquities can offer only this group, which shows Akhenaton and his wife, side by side, holding hands, and looking straight ahead. This small sculpture bears witness to the specific religious practices of Akhenaton's time: it would have been made for a private altar, before which a family offered its devotions to the royal couple."
https://www.louvre.fr/en/oeuvre-notices/amenophis-iv,Amenophis IV ,"This pillar fragment comes from a building constructed east of the Temple of Amon at Karnak. It represents the face of Amenophis IV-Akhenaten, in the easily-recognizable Amarna style. In the early years of his reign, the Pharaoh imposed the monotheistic cult of the god Re, whose visible manifestation on earth was the sun-disk, Aten. At the same time, he changed his name from Amenophis to Akhenaten."
https://www.louvre.fr/en/oeuvre-notices/amulet-belonging-paser-form-papyrus-stalk,"Amulet belonging to Paser, in the form of a papyrus stalk ","This ""wadj"" amulet consists of a little column in the form of a papyrus stalk. It is made of amazonite (a stone of an almost turquoise blue-green color) and is of remarkable craftsmanship. It is set with gold in several places, notably where leaflets surround the base of the shaft and umbel; the details are painstakingly engraved. It belonged to the vizier Paser, a key figure during the reign of Ramesses II."
https://www.louvre.fr/en/oeuvre-notices/angle-harp,Angle harp ,"The harp may have been the Egyptians' favorite musical instrument and was represented on paintings and relief sculptures as early as the Old Kingdom. The trigon appeared much later during the New Kingdom. This angular shape, with a vertical sound box, came from the East. The instrument in the Louvre is the only example of its type in such good condition."
https://www.louvre.fr/en/oeuvre-notices/annals-thutmosis-iii,Annals of Thutmosis III ,"""His Majesty commanded that there be recorded on a stone wall in the temple he had renovated...the triumphs accorded him by his father, Amun, and the booty he took. And so it was done."" This is the beginning of the first horizontal line that stands at the top of the wall inscribed with the annals of Thutmosis III, the principal text of which reads from top to bottom and from right to left."
https://www.louvre.fr/en/oeuvre-notices/aphrodite-anadyomene,Aphrodite Anadyomene ,"The Greek goddess Aphrodite was born of the foam created when the severed genitals of Uranus were cast into the sea. She is portrayed here in a large shell, upheld by two proud-looking sea monsters. Like the other Olympian gods introduced by Alexander the Great, Aphrodite was worshipped both by the Greeks of Egypt and by the Egyptians themselves. She was adopted and adapted by the Christian world, and came to symbolize the purified soul emerging from the baptismal waters."
https://www.louvre.fr/en/oeuvre-notices/apis-bull,Apis Bull ,"This large limestone statue represents the Apis bull, one of the most "
https://www.louvre.fr/en/oeuvre-notices/bas-relief-prince-khaemwaset,Bas-relief of Prince Khaemwaset ,"This bas relief depicts a high priest of Ptah. The side braid and the necklace featuring a dog with raised paws are characteristic emblems of this rank. An inscription identifies the figure as Khaemwaset, fourth son of Ramesses II, who restored many old monuments. He became known as a scholar and magician for this work, a reputation that lasted more than 1,000 years after his death. A treasure in his name, discovered at the Serapeum of Memphis, is exhibited in the same showcase."
https://www.louvre.fr/en/oeuvre-notices/bas-reliefs-temple-satet-elephantine,Bas-reliefs from the Temple of Satet at Elephantine ,"This element belongs to a group of eleven blocks acquired by the Louvre after the division of excavation finds. The ""raised relief"" technique was used to portray the pharaoh, wearing the blue crown, and framed by two deities, each with a hand on his shoulder. This was probably a portrait of Queen Hatshepsut - a rarity at the Louvre. This beautiful and well preserved relief still bears traces of the original polychrome."
https://www.louvre.fr/en/oeuvre-notices/base-and-feet-colossus-name-amenophis-iii,Base and feet of a colossus in the name of Amenophis III ,"This base belonged to one of the granite colossi erected by Amenophis III in the temple of the royal cult. The sides are engraved with a list of the southern peoples under his dominion. The cartouches inscribed on the flat of the plinth cover a former inscription, which indicates that this colossus was re-used by Amenophis III."
https://www.louvre.fr/en/oeuvre-notices/bastet,Bastet ,"This elegant bronze statuette, an image of the goddess Bastet, combines the body of a woman in a close-fitting dress with the delightful head of a little cat with pricked ears. She holds a sistrum, a lion-headed aegis, and a basket. This is one of the very many figurines that were made during the Late Period and placed by the faithful as ex-votos in the goddess’s temples."
https://www.louvre.fr/en/oeuvre-notices/bead-net-mummy,Bead net for a mummy ,"The Egyptians of the Dynastic Period had always been fond of jewelry in faience, a quartz-based ceramic with brilliant colors, but it was not until the 1st millennium BC that jewelry was applied over the last shroud, protecting the mummy with symbols of the great gods of the hereafter."
https://www.louvre.fr/en/oeuvre-notices/beaker-found-cemetery-sai-island,Beaker found in a cemetery on Sai Island ,"This piece of pottery with its remarkable metallic sheen is typical of the ceramic ware of the peoples who lived south of the second cataract between 2500 and 1500 BC. This civilization, known as the Kerma Culture, was named after a great city, which was no doubt its capital during the final phase of its existence. The population derived its wealth from breeding livestock. There was no writing system, so archaeological vestiges are our only source of information."
